Hörsaal;Serienstart;VON;BIS;Veranstaltungsnummer;ID Hörsaalbelegung1;Hörsaalbelegung1;Beschreibung;Fakultät/Abteilung;Dozent;WiEventID
A 408;21.03.2014;08:15;10:30;V000627;0000000000001WB5;>FK 06;"CTB4
Grohrock
Regelungstechnik V";Fakultät 06;;
A 406;17.03.2014;08:00;20:00;V000221;0000000000001UL1;Erstbelegung FK 06 SS14 Am 14.05 und 16.05 belegt durch Prof. Dr. Farrugia von 08:15 bis 15.00 Uhr;;Fakultät 06;;
T 0.020;17.03.2014;10:00;11:30;V000712;0000000000001WKY;FK 03;"BWL
MBD6AP/MBD6BP
Fischer Barbara";Fakultät 03;;
T 0.020;17.03.2014;13:30;15:00;V000713;0000000000001WL0;FK 03;"FzGetr
FAD7AS/FAD7BS/FAD7SS/AU_5
Knauer";Fakultät 03;;
T 0.020;18.03.2014;13:30;15:00;V000746;0000000000001X0M;FK 03;"F-technik
FAB4B/FAB4C
Mintzlaff";Fakultät 03;;
T 0.020;18.03.2014;15:15;17:45;V000747;0000000000001X0O;FK 03;"RegT
FAD5AS/FAD5L/FAD5BS
Knoll";Fakultät 03;;
T 0.020;19.03.2014;11:45;13:15;V000750;0000000000001X0U;FK 03;"Verbr.-mot.
FAB4A/FAB4B/FAB4C
Doll";Fakultät 03;;
T 0.020;19.03.2014;13:30;15:00;V000751;0000000000001X0W;FK 03;"El.Antr.
MBD7A/MBD7B
Müller";Fakultät 03;;
T 2.022;18.03.2014;15:15;16:45;V000753;0000000000001X10;FK 03;"TDyn
FAB4B
Yuan";Fakultät 03;;
T 2.022;19.03.2014;08:15;09:45;V000754;0000000000001X12;FK 03;"FatFrac
TBM1/CiE
Rother";Fakultät 03;;
T 2.022;19.03.2014;10:00;11:30;V000756;0000000000001X15;FK 03;"TB1_Mathe
TBM1
Schlüchtermann";Fakultät 03;;
T 2.022;19.03.2014;11:45;13:15;V000757;0000000000001X17;FK 03;"TB1_Management
TBM1
Eiche";Fakultät 03;;
G 127;17.03.2014;08:15;13:15;V000234;0000000000001VLC;FK 05;PVT 2A/2B;Fakultät 05;;
G 127;18.03.2014;08:15;13:15;V000235;0000000000001VLE;FK 05;PVT 2A/2B;Fakultät 05;;
G 127;19.03.2014;08:15;09:45;V000236;0000000000001VLG;FK 05;PVT 2A/2B;Fakultät 05;;
G 127;20.03.2014;08:15;13:15;V000237;0000000000001VLI;FK 05;PVT 2A/2B;Fakultät 05;;
G 127;21.03.2014;08:15;09:45;V000238;0000000000001VLK;FK 05;"VSG 2A/VSG 2B
FL
Mb/Ma";Fakultät 05;;
G 127;21.03.2014;10:00;11:30;V000239;0000000000001VLM;FK 05;"VSG 2B
FLMb/Ma";Fakultät 05;;
G 137;17.03.2014;11:45;13:15;V000240;0000000000001VLO;FK 05;"TWP 1
EGK
Rn/Fs";Fakultät 05;;
G 137;17.03.2014;15:15;16:45;V000241;0000000000001VLQ;FK 05;"TWP1
KhT1
Li";Fakultät 05;;
G 137;17.03.2014;17:00;18:30;V000242;0000000000001VLS;FK 05;"TWP 1
KhT1
Kz/My/Ti";Fakultät 05;;
G 137;18.03.2014;08:15;11:30;V000243;0000000000001VLU;FK 05;"TWP 1
GeoTh
Sc";Fakultät 05;;
G 137;18.03.2014;11:45;13:15;V000244;0000000000001VLW;FK 05;"TWP 2
FACS
Rn";Fakultät 05;;
G 137;20.03.2014;11:45;15:00;V000248;0000000000001VM4;FK 05;"MGT 1
BP+PS
Ha";Fakultät 05;;
G 137;20.03.2014;15:15;18:30;V000249;0000000000001VM6;FK 05;"TWP 1
GT+GV
Pi/Eh";Fakultät 05;;
G 137;20.03.2014;18:45;20:15;V000250;0000000000001VM8;FK 05;"TWP 2
TA span.
Pi";Fakultät 05;;
G 137;21.03.2014;08:15;11:30;V000251;0000000000001VMA;FK 05;"MGT 1
BP+PS
Ha";Fakultät 05;;
G 137;21.03.2014;11:45;15:00;V000252;0000000000001VMC;FK 05;"TWP 2
NB
Ha";Fakultät 05;;
G 137;20.03.2014;08:15;11:30;V000253;0000000000001VME;FK 05;"GL Weiterverarbeitung Pflichtmodul
Ü DR 2A
Kuen";Fakultät 05;;
G 138;17.03.2014;10:00;13:15;V000254;0000000000001VMM;FK 05;"Printmedienrechnungswesen
Pflichtmodul Ü DR 2B
Bonefeld";Fakultät 05;;
G 138;18.03.2014;08:15;11:30;V000255;0000000000001VMP;FK 05;"Printmedienrechnungswesen
Pflichtmodul Ü DR 2A
Bonefeld";Fakultät 05;;
G 138;18.03.2014;15:15;16:45;V000257;0000000000001VMU;FK 05;"RFID Technologie
Wahlpflichtmodul SU,Ü DR 4A,B/DR 6A,B
Kuen";Fakultät 05;;
G 138;18.03.2014;17:00;18:30;V000258;0000000000001VMW;FK 05;"Digitaler Produktionsdruck
Wahlpflichtmodul SU,Ü DR 4A,B/DR 6A,B
Paul, Petschik";Fakultät 05;;
