#1 (str) Fach ID;Gruppen Ids;#2 (str) Fach;MV (nicht Dozent!);Gruppe;;
AR MA;WW M4 NW;Arbeitsrecht;Wilrich;MBA - 4 ING / NW;;
AR MA;WI M3;Arbeitsrecht;Wilrich;WIM - 3 A;;
Aut;4Tec,4Inf/Tec;Automatisierung;Glas;WI - 4 TEC 1;;
Aut;4Tec-G2,4Tec-G2/Inf;Automatisierung;Glas;WI - 4 TEC 2;;GRUPPEN TEC G1 / G2 hinzufügen (23.09.2014)
Aut;4Bio/Inf,4Inf/Bio,4Bio;Automatisierung;Glas;WI - 4 BIO;;
Aut;4Bio/Inf,4Inf/Bio,4Tec-G2/Inf,4Inf/Tec;Automatisierung;Glas;WI - 4 INF;;
Aut Prak;;Automatisierung Praktikum;Glas;;;
Aut-LM;4LM;Automatisierungstechnologie;Glas;LM - 4;;
Autom MA;WW M1 WI;Automatisierungstechnologie;Glas;MBA - 1 WI;;
Autom MA;WI M1;Automatisierungstechnologie;Glas;WIM - 1 A;;
Autom MA;WI M2;Automatisierungstechnologie;Glas;WIM - 2 A;;
BauVertr;WW M2 Bau;Europaeisches Bauvertrags- und Vergaberecht;FK02 (Kainz);MBA - 2 BAU;;
BIL MA;WW M1 NW;Bilanzierung;Englbrecht;MBA - 1 ING / NW;;
Bio-Prakt;5Bio/Inf,5Bio/Tec;Biotechnologisches Praktikum;Trebesius;WI - 5 BIO;;
Bio-Prakt-G2;;Biotechnologisches Praktikum;Trebesius;;;
Bio-VT;4Bio/Inf,4Inf/Bio,4Bio;Biologische Verfahrenstechnik;Deublein;WI - 4 BIO;;
BuBi;2A;Buchfuehrung und Bilanzierung;Englbrecht;WI - 2 A;;
BuBi;2B;Buchfuehrung und Bilanzierung;Englbrecht;WI - 2 B;;
BuBi;2C;Buchfuehrung und Bilanzierung;Englbrecht;WI - 2 C;;
BuBi;2LM;Buchfuehrung und Bilanzierung;Englbrecht;LM - 2;;
BuBi-AU;2AU;Buchfuehrung und Bilanzierung;Krahe;AU - 2;;
BuD-Log;6LM;Beschaffung und Distributionslogistik;Meier;LM - 6;;
BusGerm;;Doing Business in Germany;Doehl;;;
BWL;1A;Betriebswirtschaftslehre;Sachenbacher;WI - 1 A;;
BWL;1B;Betriebswirtschaftslehre;Sachenbacher;WI - 1 B;;
BWL;1C;Betriebswirtschaftslehre;Sachenbacher;WI - 1 C;;
BWL;1LM;Betriebswirtschaftslehre;Sachenbacher;LM - 1;;
BWL;1AU;Betriebswirtschaftslehre;Sachenbacher;AU - 1;;
BWL MA;WW M1 NW;Betriebswirtschaftslehre;Sachenbacher;MBA - 1 ING / NW;;
BWL MA;WW M1 NW-2;Betriebswirtschaftslehre;Sachenbacher;MBA - 1 ING / NW;;
Chemie;1A;Chemie;Trebesius;WI - 1 A;;
Chemie;1B;Chemie;Trebesius;WI - 1 B;;
Chemie;1C;Chemie;Trebesius;WI - 1 C;;
Chemie;1LM;Chemie;Trebesius;LM - 1;;
Chemie;1AU;Chemie;Trebesius;AU - 1;;
ConsSkills;WI M2;Consulting Skills;Osterchrist;WIM - 2 A;;
Cont MA;WW M3;Controlling;Krahe;MBA - 3 BAU;;
Cont MA;WW M3;Controlling;Krahe;MBA - 3 ING / NW;;
Cont MA;WW M3;Controlling;Krahe;MBA - 3 WI;;
Cont MA;WI M1;Controlling;Krahe;WIM - 1 A;;
Cont MA;WI M1 G2;Controlling;Krahe;WIM - 1 B;;
Cont MA-G2;WW M3;Controlling;Krahe;MBA - 3 BAU;;
Cont MA-G2;WW M3;Controlling;Krahe;MBA - 3 ING / NW;;
Cont MA-G2;WW M3;Controlling;Krahe;MBA - 3 WI;;
DA;3Tec;Datenanalyse;Abel;WI - 3 TEC G1;;
DA;3Tec-G2,3Tec-G2/Inf;Datenanalyse;Abel;WI - 3 TEC G2;;
DA;3Bio/Inf,3Inf/Bio,3Bio;Datenanalyse;Abel;WI - 3 BIO;;
DA;3Bio/Inf,3Inf/Bio,3Tec-G2/Inf,3Inf/Tec;Datenanalyse;Abel;WI - 3 INF;;
DB;3Bio/Inf,3Inf/Bio,3Inf/Tec;Datenbanken in Technik und Wirtschaft;Teich;WI - 3 INF;;
DigFabr;WI M1;Digitale Fabrikplanung;Spitznagel;WIM - 1 A;;
DigFabr;WI M1 G2;Digitale Fabrikplanung;Spitznagel;WIM - 1 B;;
DigFabr;WW M1 WI;Digitale Fabrikplanung;Spitznagel;MBA - 1 WI;;
DigFabr;WI M2;Digitale Fabrikplanung;Spitznagel;WIM - 2 A;;
DigFabr;WW M4 WI;Digitale Fabrikplanung;Spitznagel;MBA - 4 WI;;
DigFabr-a;WI M2;Digitale Fabrikplanung;Spitznagel;WIM - 2 A;;
DigFabr-b;WI M2;Digitale Fabrikplanung;Spitznagel;WIM - 2 A;;
DOE;;Design and Analysis of Experiments;Abel;;;
Einkauf;WI M2;Einhauf;?;WIM - 2 A;;
ElekAntr;4AU;Elektrische Antriebe;FK03 (Mueller);AU - 4;;
ElekBord Prak-G1;4AU;Elektrische Bordnetze Praktikum;FK03 (Buch);AU - 4;;
ElekBord Prak-G2;4AU;Elektrische Bordnetze Praktikum;FK03 (Buch);AU - 4;;
ElekBord Vorl;4AU;Elektrische Bordnetze Vorlesung;FK03 (Buch);AU - 4;;
Elektronik;4AU;Elektronik;FK03 (Küpper);AU - 4;;
EmbSys;5Inf/Bio,5Inf;Embedded Systems;Hinz;WI - 5 INF;;
EmbSys;CIE;Embedded Systems;Hinz;CIE - CIE;;
EngMech;1A;TM (Englisch);Hoffmann;WI - 1 A;;
EngMech;1B;TM (Englisch);Hoffmann;WI - 1 B;;
EngMech;1C;TM (Englisch);Hoffmann;WI - 1 C;;
EngMech;1LM;TM (Englisch);Hoffmann;LM - 1;;
EngMech;1AU;TM (Englisch);Hoffmann;AU - 1;;
EngMech;CIE;TM (Englisch);Hoffmann;CIE - CIE;;
EnTech;3Tec;Energietechnik;Mauerer;WI - 3 TEC G1;;
EnTech;3Tec-G2,3Tec-G2/Inf;Energietechnik;Mauerer;WI - 3 TEC G2;;
