Studiengang;Studiengruppe;Kapazitäzsgruppe;Klasse;Beschreibung
BW;1;A;1A;1A Bachelor
BW;1;B;1B;1B Bachelor
BW;1;C;1C;1C Bachelor
BW;1;D;1D;1D Bachelor
BW;2;A;2A;2A Bachelor
BW;2;B;2B;2B Bachelor
BW;2;C;2C;2C Bachelor
BW;2;D;2D;2D Bachelor
BW;3;A;3A;3A Bachelor
BW;3;B;3B;3B Bachelor
BW;3;C;3C;3C Bachelor
BW;3;D;3D;3D Bachelor
BW;5;;5WPF;5 Bachelor Wahlpflichtfächer
BW;6;;6 allg;6 Bachelor allgemein
BW;7;;7 allg;7 Bachelor allgemein
BW;Richtung;Allg;Allg;Allgemeine LV ohne Gruppe
BW;Richtung;BC;BC;Rechnungswesen / Controlling
BW;Richtung;BF;BF;Bank-, Finanz- und Risikomanagement
BW;Richtung;BHR;BHR;Human Resource Management
BW;Richtung;BI;BI;International Management
BW;Richtung;BL;BL;Supply Chain Management
BW;Richtung;BM;BM;Marketingmanagement
BW;Richtung;BP;BP;Projektberatung und Projektmanagement
BW;Richtung;BS;BS;Steuern
WIF;1;A;WI-1A;1A Wirtschaftsinformatik
WIF;1;B;WI-1B;1B Wirtschaftsinformatik
WIF;1;C;WI-1C;1C Wirtschaftsinformatik
WIF;2;A;WI-2A;2A Wirtschaftsinformatik
WIF;2;B;WI-2B;2B Wirtschaftsinformatik
WIF;2;C;WI-2C;2C Wirtschaftsinformatik
WIF;3;A;WI-3A;3A Wirtschaftinformatik
WIF;3;B;WI-3B;3B Wirtschaftinformatik
WIF;3;C;WI-3C;3C Wirtschaftinformatik
WIF;4;A;WI-4A;4A Wirtschaftsinformatik
WIF;4;B;WI-4B;4B Wirtschaftsinformatik
WIF;4;C;WI-4C;4C Wirtschaftsinformatik
WIF;6;A;WI-6A;6A Wirtschaftsinformatik
WIF;6;B;WI-6B;6B Wirtschaftsinformatik
WIF;6;C;WI-6C;6C Wirtschaftsinformatik
WIF;7;;WI-7;Wirtschaftsinformatik 7 ohne Studiengruppe
IB;Alles;;IB;International Bachelor
BAUF;Alles;;BAUF;Bachelor Unternehmensführung
ME;Alles;;ME;Master European gesamt
MF;Alles;;MF;Master Finance gesamt
MM;Alles;;MM;Master Marketing gesamt
MD;Alles;;MD;Master Digital
MOT;Alles;;MOT;Master of Taxation
WI-M;Alles;;WI-M;Master Wirtschaftsinformatik
HRM;Alles;;HRM;Master Human Resource
FK11;Alles;;FK11;
